"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"OperatingSystem";"GraphicAdapter";"OtherEquipment";"WarrantyExpirationDate";"InstallDate";"Note"
"14295000001";"130921";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ437448M";"";"";;"2018-02-22";"2018-02-14";
"14295000002";"121055";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ43749TZ";"";"";;"2018-02-22";"2018-02-22";
"14295000003";"130922";"Production";"Equipamento Usado - em bom estado";"HP";"HP 4000";"";"Desktop";"";"BRG119FZ66";"";"";;"2018-02-22";"2018-02-22";
"14295000004";"121035";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ44179LN";"";"";;"2018-02-22";"2018-02-22";
"14295000005";"110050";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8100";"";"Desktop";"";"BRG109FBF9";"";"";;"2018-02-22";"2018-02-22";
"14295000006";"115773";"Production";"Equipamento Usado - em bom estado";"HP";"HP8300";"Equipamento Usado - em bom estado";"Desktop";"";"BRJ43744B7";"";"";;"2018-02-22";"2018-07-10";
"14295000007";"130923";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRG233F9PX";"";"";;"2018-02-22";"2018-08-01";
"14295000008";"115733";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ43744FJ";"";"";;"2018-02-22";"2018-02-22";
"14295000009";"115770";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ43744D1";"";"";;"2018-02-22";"2018-02-22";
"14295000010";"130925";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"";"BRG233FB1S";"";"";;"2018-02-22";"2018-07-27";
"14295000011";"130924";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"";"BRG233F9W3";"";"";;"2018-02-22";"2018-02-22";
"14295000012";"130926";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ43749SR";"";"";;"2018-02-22";"2018-02-22";
"14295000013";"130927";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ4374B5Q";"";"";;"2018-02-22";"2018-08-01";
"14295000014";"115714";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4341TD9";"";"";;"2018-02-22";"2018-02-22";
"14295000015";"115699";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ437448B";"";"";;"2018-02-22";"2018-02-22";
"14295000016";"115735";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ43744BX";"";"";;"2018-02-22";"2018-02-22";
"14295000017";"115686";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4341TK2";"";"";;"2018-02-22";"2018-02-22";
"14295000018";"110844";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"estoque@callink.com.br";"BRG335F22C";"";"";;"2018-02-22";"2018-02-22";
"14295000019";"110763";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"";"BRG234F9RB";"";"";;"2018-02-22";"2018-02-22";
"14295000020";"115766";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4384RCN";"";"";;"2018-02-22";"2018-02-22";
"14295000021";"115765";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4341TFC";"";"";;"2018-02-23";"2018-02-14";
"14295000022";"129932";"Production";"Equipamento Usado - em bom estado";"LENOVO M93P";"M93P";"";"Desktop";"";"1S10A8A1FWBPPE022WN8";"";"";;"2018-02-23";"2018-01-14";
"14295000023";"130928";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8100";"";"Desktop";"";"S/N";"";"";;"2018-02-23";"2018-02-14";
"14295000024";"115734";"Production";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"";"BRJ437449J";"";"";;"2018-02-23";"2018-02-14";
"14295000025";"130929";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8000";"";"Desktop";"";"BRG216FGZ0";"";"";;"2018-02-23";"2018-02-14";
"14295000026";"121033";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4374D4X";"";"";;"2018-02-23";"2018-02-14";
"14295000027";"121036";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4341THD";"";"";;"2018-02-23";"2018-02-14";
"14295000028";"130930";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ43744G1";"";"";;"2018-02-23";"2018-02-14";
"14295000029";"115721";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4384RBZ";"";"";;"2018-02-23";"2018-02-14";
"14295000030";"115751";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4341TG6";"";"";;"2018-02-23";"2018-02-14";
"14295000031";"115745";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4341TG6";"";"";;"2018-02-23";"2018-02-14";
"14295000032";"112250";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"";"BRG302F88M";"";"";;"2018-02-23";"2018-02-14";
"14295000033";"130931";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8100";"";"Desktop";"";"S/N";"";"";;"2018-02-23";"2018-02-14";
"14295000034";"115709";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"BRJ43744BN";"";"";;"2018-02-23";"2018-02-14";
"14295000035";"130932";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 8100";"";"Desktop";"estoque@callink.com.br";"BRG104F478";"";"";;"2018-02-23";"2018-02-14";
"14295000036";"110534";"Production";"Equipamento Usado - em bom estado";"HP";"HP 4000";"";"Desktop";"";"BRG138G104";"";"";;"2018-02-23";"2018-02-14";
"14295000037";"108873";"Production";"Equipamento Usado - em bom estado";"HP";"HP 4000";"";"Desktop";"";"BRG144F88C";"";"";;"2018-02-23";"2018-02-14";
"14295000038";"129924";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"M93P";"";"Desktop";"estoque@callink.com.br";"1S10A8A1FWBPPE022WKK";"";"";;"2018-02-23";"2018-02-14";
"14295000039";"130933";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"";"S/N";"";"";;"2018-02-23";"2018-02-14";
"14295000040";"110665";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8300";"";"Desktop";"";"BRG235F8QH";"";"";;"2018-02-23";"2018-02-14";
"14295000041";"110506";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8200";"";"Desktop";"";"BRG230F13S";"";"";;"2018-02-23";"2018-02-14";
"14295000042";"130934";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 8100";"";"Desktop";"estoque@callink.com.br";"BRG105F5VB";"";"";;"2018-02-23";"2018-02-14";
"14295000043";"114670";"Production";"Equipamento Usado - em bom estado";"HP";"HP 600 G1";"";"Desktop";"";"BRJ4208CMC";"";"";;"2018-02-23";"2018-02-14";
