"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"WarrantyExpirationDate";"InstallDate";"Note"
"1423000003";"128906";"Production";"Equipamento Novo";"LENOVO";"Thinkpad Lenovo";"Dock Station - M2B0KLN2 - CODB6787";"Docking Station";"diego_mangia";"PN SD20F82751";"2018-02-16";;
"1423000004";"128818";"Production";"Equipamento Novo";"LENOVO";"Thinkpad Lenovo";"Dock Station - M2B0KLMY - COD B6577";"Docking Station";"gorski";"PN SD20F82751";"2018-02-16";;
"1423000028";"129976";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Modem";"estoque@callink.com.br";"BROGHGTCTVB006BB7191Q9LA00";"2018-02-20";"2018-02-14";
"1423000078";"131541";"Production";"Equipamento Usado - em bom estado";"HP";"LASER JET";"EQUIPAMENTO USADO EM PERFEITO ESTADO DE CONSERVAÇÃO.";"Printer";"predio_fmc@callink.com.br";"BRDY942442";"2018-02-21";;
"1423000103";"128312";"Production";"Equipamento Usado - em bom estado";"CISCO";"2960 POE 48P";"Equipamento Usado - em bom estado";"Switch";"predio_fmc@callink.com.br";"FCW1852B3SC";"2018-02-23";"2018-02-23";
"1423000104";"128310";"Production";"Equipamento Usado - em bom estado";"CISCO";"2960 POE 48P";"Equipamento Usado - em bom estado";"Switch";"predio_fmc@callink.com.br";"FCW1852B3P2";"2018-02-23";;
"1423000481";"128899";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLL4";"2018-03-22";"2018-03-22";
"1423000482";"128825";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLKY";"2018-03-22";"2018-03-22";
"1423000483";"128824";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KN9M";"2018-03-22";"2018-03-22";
"1423000484";"128828";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLNF";"2018-03-22";"2018-03-22";
"1423000485";"128816";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KN9K";"2018-03-22";"2018-03-22";
"1423000486";"128830";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLLP";"2018-03-22";"2018-03-22";
"1423000487";"128843";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLAR";"2018-03-22";"2018-03-22";
"1423000488";"128855";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLMB";"2018-03-22";"2018-03-22";
"1423000489";"128819";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLN6";"2018-03-22";"2018-03-22";
"1423000490";"128820";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLLY";"2018-03-22";"2018-03-22";
"1423000491";"128835";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLM6";"2018-03-22";"2018-03-22";
"1423000492";"128880";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLPV";"2018-03-22";"2018-03-22";
"1423000493";"128833";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLM4";"2018-03-22";"2018-03-22";
"1423000494";"128908";"Estoque";"Equipamento Usado - em bom estado";"LENOVO";"THINKPAD PRO DOCK";"EQUIPAMENTO USADO EM BOM ESTADO";"Docking Station";"estoque@callink.com.br";"1S40A1M2B0KLAL";"2018-03-22";"2018-03-22";
