"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"WarrantyExpirationDate";"InstallDate";"Note"
"1423000005";"130000";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BB448LA00";"2018-02-19";"2018-02-19";
"1423000006";"130001";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BB3SQLA00";"2018-02-20";"2018-03-14";
"1423000007";"129998";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"";"BROGHGTCTVB006BB442LA00";"2018-02-20";"2018-02-14";
"1423000008";"129999";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BB2KDLA00";"2018-02-20";"2018-03-14";
"1423000009";"129984";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"equipamento usado em bom estado.";"Monitor";"";"BROGHGTCTVB006BB71906CLA00";"2018-02-20";"2018-02-14";
"1423000010";"129985";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"equipamento usado em bom estado.";"Monitor";"";"BROGHGTCTVB006BB7193D6LA00";"2018-02-20";"2018-02-14";
"1423000011";"130052";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"equipamento usado em bom estado.";"Monitor";"";"BROGHGTCTVB006BB7191TDLA00";"2018-02-20";"2018-02-14";
"1423000012";"130106";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"equipamento usado em bom estado.";"Monitor";"";"BROGHGTCTVB006BB6BS15DLA00";"2018-02-20";"2018-02-14";
"1423000013";"130105";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB6BS15VLA00";"2018-02-20";"2018-02-14";
"1423000014";"129982";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB7192HVLA00";"2018-02-20";"2018-02-14";
"1423000015";"129983";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB719315LA00";"2018-02-20";"2018-02-14";
"1423000016";"130031";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"";"BROGHGTCTVB006BB45ELA00";"2018-02-20";"2018-02-14";
"1423000017";"130030";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB3MMLA00";"2018-02-20";"2018-02-14";
"1423000018";"129986";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB7191QOLA00";"2018-02-20";"2018-02-14";
"1423000019";"129987";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB30NLA00";"2018-02-20";"2018-02-14";
"1423000020";"129996";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB7193EFLA00";"2018-02-20";"2018-02-14";
"1423000021";"129997";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB7191V4LA00";"2018-02-20";"2018-02-14";
"1423000022";"129991";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"";"BROGHGTCTVB006BB7191S8LA00";"2018-02-20";"2018-02-14";
"1423000023";"129990";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB45GLA00";"2018-02-20";"2018-02-14";
"1423000024";"129980";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"EQUIPAMENTO USADO EM BOM ESTADO.";"Monitor";"";"BROGHGTCTVB006BB3V2LA00";"2018-02-20";"2018-02-14";
"1423000025";"129981";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB719KNLA00";"2018-02-20";"2018-02-14";
"1423000026";"129992";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"";"BROGHGTCTVB006BB71906VLA00";"2018-02-20";"2018-02-14";
"1423000027";"129993";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"EQUIPAMENTO USADO EM BOM ESTADO.";"Monitor";"";"BROGHGTCTVB006BB7192C1LA00";"2018-02-20";"2018-02-14";
"1423000029";"129977";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB7191ROLA00";"2018-02-20";"2018-02-14";
"1423000030";"130098";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB6BSOL5LA00";"2018-02-20";"2018-02-14";
