"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"WarrantyExpirationDate";"InstallDate";"Note"
"1423000079";"133304";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"15WZ446701K7";"2018-02-22";"2018-06-16";
"1423000080";"125099";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"16WZ0240025D";"2018-02-22";"2018-03-17";
"1423000081";"128017";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"700508260MP";"2018-02-22";"2018-02-14";
"1423000082";"134674";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"15WZ505702DQ";"2018-02-22";"2018-06-04";
"1423000083";"134870";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"15WZ505702G8";"2018-02-22";"2018-05-29";
"1423000084";"128035";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"15WZ446701LW";"2018-02-22";"2018-03-17";
"1423000085";"127829";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000086";"127970";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"15WZ505702GT";"2018-02-22";"2018-03-17";
"1423000087";"127965";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"700508260MP";"2018-02-22";"2018-03-21";
"1423000088";"128148";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000089";"127988";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"700508260MP";"2018-02-22";"2018-02-14";
"1423000090";"125098";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000091";"128143";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000092";"128067";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000093";"127989";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"tempo.cmdb@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000094";"128089";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"15WZ446701N7";"2018-02-22";"2018-08-02";
"1423000095";"127865";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"15WZ446701LC";"2018-02-22";"2018-03-21";
"1423000096";"128042";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"700508260MP";"2018-02-22";"2018-02-14";
"1423000097";"127846";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"EQUIPAMENTO USADO EM BOM ESTADO.";"Ramal";"estoque@callink.com.br";"15WZ504700WT";"2018-02-22";"2018-03-17";
"1423000098";"125016";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"16WZ0250008Y";"2018-02-22";"2018-03-21";
"1423000099";"125017";"Estoque";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"estoque@callink.com.br";"16WZ0250008P";"2018-02-22";"2018-03-17";
"1423000100";"135632";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"15WZ5057020L";"2018-02-22";"2018-03-17";
"1423000101";"125024";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"700508260MP";"2018-02-22";"2018-02-14";
"1423000102";"128159";"Production";"Equipamento Usado - em bom estado";"AVAYA";"1608-l";"";"Ramal";"";"700508260MP";"2018-02-22";"2018-02-14";
"1423000152";"105488";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00K200302";"2018-03-14";"2018-03-14";
"1423000157";"105562";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00K200233";"2018-03-15";"2018-03-15";
"1423000158";"105846";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00K205597";"2018-03-15";"2018-03-15";
"1423000159";"105773";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00J813061";"2018-03-15";"2018-03-15";
"1423000160";"105989";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00K205435";"2018-03-15";"2018-03-15";
"1423000161";"105569";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00JC14549";"2018-03-15";"2018-03-15";
"1423000162";"105628";"Production";"Equipamento Usado - em bom estado";"LINKSYS";"SPA922";"";"Ramal";"";"4MK00K205646";"2018-03-15";"2018-03-15";
